stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\game\project\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   1.47081] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47082] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47083] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47085] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47086] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47087] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47088] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47089] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47090] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47091] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47093] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47094] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47095] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47096] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47097] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47098] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47099] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47100] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47101] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47102] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47103] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47105] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47106] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47107] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47108] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47109] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47110] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47111] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47112] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47113] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.47114] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47115] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.47116] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47118] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.47119] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47120] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47121] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47122] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47123] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47124] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.47125] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47127] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.47127] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47129] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.47130] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47131] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47132] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47133] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47134] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47135] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.47136] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47137] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.47138] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47139] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.47140] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47141] Score is : 769
